ENTITY_NAME,RESOURCE_TYPE,ZONE_NAME
KAPGS-LT.AG12,GEN,Northeast
COCHRANECGS-LT.G2,GEN,Northeast
JBLCTS-LT.LFB13,LOAD,Niagara
DOFKENILWRTH-LT.LF78,LOAD,Southwest
RAINYRIVGLD-LT.LFAB,LOAD,Northwest
WEYERHAUS-LT.T1_LF,LOAD,Northwest
YOUNGDAVIDSN-LT.TT26,LOAD,Northeast
TBAYBOWATER-LT.AT2_LF,LOAD,Northwest
GRUBSTAKE-LT.T1_LF,LOAD,Northwest
PIKANGIKUM-LT.Q_70999-LF,LOAD,Northwest
KENILWORTH-LT.T23,LOAD,Southwest
FROOD-LT.T12,LOAD,Northeast
INCO4-LT.T12,LOAD,Northeast
HWY101-LT.LF123,LOAD,Northeast
NCARIBOULK-115.AG_LF,LOAD,Northwest
NCARIBOULK-LT.D1_LF,LOAD,Northwest
WILSON-LT.LFEZ,LOAD,Toronto
WILSON-LT.LFJQ,LOAD,Toronto
GODERICH-LT.LFQZ,LOAD,Southwest
PARRYSOUND-LT.T12,LOAD,Essa
BATLEMTNGOLD-LT.T1_LF,LOAD,Northeast
ADAMSBLVD-LT.L1_LF,LOAD,Southwest
MCMASTER-LT.LFQ12,LOAD,Southwest
REXDALE-LT.LFBEZY,LOAD,Toronto
ARMITAGE-LT.LFE,LOAD,Essa
GREENFIELD-LT.G1,GEN,West
GREENFIELD-LT.G2,GEN,West
GREENFIELD-LT.G3,GEN,West
GREENFIELD-LT.G4,GEN,West
GSPC-LT.G1,GEN,West
GSPC-LT.G2,GEN,West
GTAA-LT.G_M12,GEN,Toronto
GTAA-LT.G_M45,GEN,Toronto
GTAA-LT.G_M46,GEN,Toronto
HALTONHILLS-LT.G1,GEN,Southwest
HALTONHILLS-LT.G2,GEN,Southwest
HALTONHILLS-LT.G3,GEN,Southwest
NAPANEECGS-LT.G1,GEN,East
NAPANEECGS-LT.G2,GEN,East
NAPANEECGS-LT.G3,GEN,East
PORTLANDS-LT.G1,GEN,Toronto
PORTLANDS-LT.G2,GEN,Toronto
PORTLANDS-LT.G3,GEN,Toronto
SITHEG-LT.G11,GEN,Toronto
SITHEG-LT.G12,GEN,Toronto
SITHEG-LT.G13,GEN,Toronto
SITHEG-LT.G15,GEN,Toronto
ALLANBURG-LT.DRCTENGY_DRA,LOAD,Niagara
CHATHAM-LT.DRCTENGY_DRA,LOAD,West
CHERRYWOOD-LT.ALECTRA_DRA,LOAD,Toronto
CHERRYWOOD-LT.DRCTENGY_DRA,LOAD,Toronto
LAKEHEAD-LT.NRGCS_DRA,LOAD,Northwest
LENNOX-LT.DRCTENGY_DRA,LOAD,East
MIDDLEPORT-LT.DRCTENGY_DRA,LOAD,Southwest
FLAKEBOARD-LT.T1_LF,LOAD,Northeast
KIMBERCLARK-LT.T34_LF,LOAD,Northwest
MOOSELAKE-LT.T23_LF,LOAD,Northwest
MASTRONCTS-LT.LFB,LOAD,West
KIRKLANDLAKE-LT.T34,LOAD,Northeast
PANABRASIVES-LT.T1_LF,LOAD,Niagara
NEXTSTAR-LT.T12,LOAD,West
