CREATED AT 2026/06/30 00:37:27 FOR 2026/06/30
Delivery Hour,Interval,Pricing Location,LMP,Energy Loss Price,Energy Congestion Price
1,4,ALCOCAN-LT.TT1_LF,35.57,0.71,0.00
1,5,ALCOCAN-LT.TT1_LF,34.98,0.70,0.00
1,6,ALCOCAN-LT.TT1_LF,35.49,0.71,0.00
1,7,ALCOCAN-LT.TT1_LF,37.05,0.74,0.00
1,8,ALCOCAN-LT.TT1_LF,36.73,0.73,0.00
1,9,ALCOCAN-LT.TT1_LF,37.05,0.74,0.00
1,1,ALEXANDER-LT.AG_T1,-100.00,-5.30,-132.10
1,2,ALEXANDER-LT.AG_T1,-100.00,-5.23,-131.71
1,3,ALEXANDER-LT.AG_T1,-100.00,-4.96,-130.09
1,4,ALEXANDER-LT.AG_T1,-100.00,-4.94,-129.92
1,5,ALEXANDER-LT.AG_T1,-100.00,-4.86,-129.43
1,6,ALEXANDER-LT.AG_T1,-100.00,-4.93,-129.86
1,7,ALEXANDER-LT.AG_T1,-100.00,-5.14,-131.17
1,8,ALEXANDER-LT.AG_T1,-100.00,-5.10,-130.90
1,9,ALEXANDER-LT.AG_T1,-100.00,-5.14,-131.16
1,1,ALEXANDER-LT.AG_T2,-100.00,-5.30,-132.10
1,2,ALEXANDER-LT.AG_T2,-100.00,-5.23,-131.71
1,3,ALEXANDER-LT.AG_T2,-100.00,-4.96,-130.09
1,4,ALEXANDER-LT.AG_T2,-100.00,-4.94,-129.92
1,5,ALEXANDER-LT.AG_T2,-100.00,-4.86,-129.43
1,6,ALEXANDER-LT.AG_T2,-100.00,-4.93,-129.86
1,7,ALEXANDER-LT.AG_T2,-100.00,-5.14,-131.17
1,8,ALEXANDER-LT.AG_T2,-100.00,-5.10,-130.90
1,9,ALEXANDER-LT.AG_T2,-100.00,-5.14,-131.16
1,1,ALEXANDER-LT.AG_T3,-100.00,-5.30,-132.10
1,2,ALEXANDER-LT.AG_T3,-100.00,-5.23,-131.71
1,3,ALEXANDER-LT.AG_T3,-100.00,-4.96,-130.09
1,4,ALEXANDER-LT.AG_T3,-100.00,-4.94,-129.92
1,5,ALEXANDER-LT.AG_T3,-100.00,-4.86,-129.43
1,6,ALEXANDER-LT.AG_T3,-100.00,-4.93,-129.86
1,7,ALEXANDER-LT.AG_T3,-100.00,-5.14,-131.17
1,8,ALEXANDER-LT.AG_T3,-100.00,-5.10,-130.90
1,9,ALEXANDER-LT.AG_T3,-100.00,-5.14,-131.16
1,1,ALEXANDER-LT.AG_T4,-100.00,-5.30,-132.10
1,2,ALEXANDER-LT.AG_T4,-100.00,-5.23,-131.71
1,3,ALEXANDER-LT.AG_T4,-100.00,-4.96,-130.09
1,4,ALEXANDER-LT.AG_T4,-100.00,-4.94,-129.92
1,5,ALEXANDER-LT.AG_T4,-100.00,-4.86,-129.43
1,6,ALEXANDER-LT.AG_T4,-100.00,-4.93,-129.86
1,7,ALEXANDER-LT.AG_T4,-100.00,-5.14,-131.17
1,8,ALEXANDER-LT.AG_T4,-100.00,-5.10,-130.90
1,9,ALEXANDER-LT.AG_T4,-100.00,-5.14,-131.16
1,1,ALGOMAEAF-LT.EAF1,35.08,-2.32,0.00
1,2,ALGOMAEAF-LT.EAF1,34.65,-2.29,0.00
1,3,ALGOMAEAF-LT.EAF1,32.88,-2.17,0.00
1,4,ALGOMAEAF-LT.EAF1,32.70,-2.16,0.00
1,5,ALGOMAEAF-LT.EAF1,32.16,-2.12,0.00
1,6,ALGOMAEAF-LT.EAF1,32.63,-2.15,0.00
1,7,ALGOMAEAF-LT.EAF1,34.06,-2.25,0.00
1,8,ALGOMAEAF-LT.EAF1,33.77,-2.23,0.00
1,9,ALGOMAEAF-LT.EAF1,34.06,-2.25,0.00
