CREATED AT 2026/06/29 12:33:34 FOR 2026/06/30
Delivery Hour,Pricing Location,LMP,Energy Loss Price,Energy Congestion Price
1,ABITIBISF-LT.AG_T1,44.03,-0.97,0.00
2,ABITIBISF-LT.AG_T1,36.54,-0.91,0.00
3,ABITIBISF-LT.AG_T1,36.56,-0.91,0.00
4,ABITIBISF-LT.AG_T1,36.87,-0.70,0.00
5,ABITIBISF-LT.AG_T1,41.10,-1.11,0.00
6,ABITIBISF-LT.AG_T1,38.23,-1.26,0.00
7,ABITIBISF-LT.AG_T1,47.26,-5.34,0.00
8,ABITIBISF-LT.AG_T1,50.08,-6.51,0.00
9,ABITIBISF-LT.AG_T1,49.28,-6.95,0.00
10,ABITIBISF-LT.AG_T1,56.31,-9.07,0.00
11,ABITIBISF-LT.AG_T1,56.98,-12.02,0.00
12,ABITIBISF-LT.AG_T1,63.79,-15.18,0.00
13,ABITIBISF-LT.AG_T1,69.83,-17.32,0.00
14,ABITIBISF-LT.AG_T1,70.22,-19.24,0.00
15,ABITIBISF-LT.AG_T1,70.15,-26.09,-11.90
16,ABITIBISF-LT.AG_T1,40.08,-32.65,-62.27
17,ABITIBISF-LT.AG_T1,17.74,-37.64,-100.24
18,ABITIBISF-LT.AG_T1,37.46,-46.99,-112.19
19,ABITIBISF-LT.AG_T1,63.16,-54.82,-120.81
20,ABITIBISF-LT.AG_T1,186.56,-52.24,0.00
21,ABITIBISF-LT.AG_T1,118.12,-32.13,0.00
22,ABITIBISF-LT.AG_T1,111.14,-23.78,0.00
23,ABITIBISF-LT.AG_T1,52.79,-6.55,0.00
24,ABITIBISF-LT.AG_T1,56.67,-2.95,0.00
1,ABKENORA-LT.AG,8.98,-5.35,-30.67
2,ABKENORA-LT.AG,8.40,-4.25,-24.80
3,ABKENORA-LT.AG,8.39,-4.80,-24.29
4,ABKENORA-LT.AG,8.39,-4.70,-24.48
5,ABKENORA-LT.AG,8.58,-5.47,-28.15
6,ABKENORA-LT.AG,8.34,-5.27,-25.88
7,ABKENORA-LT.AG,9.26,-8.36,-34.98
8,ABKENORA-LT.AG,9.65,-9.39,-37.55
9,ABKENORA-LT.AG,9.63,-9.99,-36.62
10,ABKENORA-LT.AG,10.37,-10.99,-44.02
11,ABKENORA-LT.AG,8.60,-13.08,-47.31
12,ABKENORA-LT.AG,36.97,-14.71,-27.28
13,ABKENORA-LT.AG,11.11,-15.30,-60.73
14,ABKENORA-LT.AG,9.45,-15.89,-64.12
15,ABKENORA-LT.AG,10.28,-18.10,-79.76
16,ABKENORA-LT.AG,11.51,-21.46,-102.03
17,ABKENORA-LT.AG,12.46,-26.04,-117.11
18,ABKENORA-LT.AG,14.17,-31.95,-150.53
19,ABKENORA-LT.AG,16.38,-42.74,-179.68
20,ABKENORA-LT.AG,16.28,-39.97,-182.55
21,ABKENORA-LT.AG,12.22,-26.69,-111.34
22,ABKENORA-LT.AG,11.65,-25.59,-97.69
23,ABKENORA-LT.AG,48.23,-11.09,-0.01
24,ABKENORA-LT.AG,10.09,-8.97,-40.56
1,ABRASIVE-LT.T1_LF_DRA,44.42,-0.58,0.00
2,ABRASIVE-LT.T1_LF_DRA,37.56,0.11,0.00
3,ABRASIVE-LT.T1_LF_DRA,37.74,0.26,0.00
4,ABRASIVE-LT.T1_LF_DRA,37.61,0.04,0.00
5,ABRASIVE-LT.T1_LF_DRA,42.13,-0.08,0.00
6,ABRASIVE-LT.T1_LF_DRA,39.65,0.16,0.00
7,ABRASIVE-LT.T1_LF_DRA,52.23,-0.37,0.00
8,ABRASIVE-LT.T1_LF_DRA,55.91,-0.67,0.00
9,ABRASIVE-LT.T1_LF_DRA,55.19,-1.05,0.00
10,ABRASIVE-LT.T1_LF_DRA,63.78,-1.59,0.00
11,ABRASIVE-LT.T1_LF_DRA,67.25,-1.75,0.00
12,ABRASIVE-LT.T1_LF_DRA,76.22,-2.74,0.00
13,ABRASIVE-LT.T1_LF_DRA,84.45,-2.70,0.00
14,ABRASIVE-LT.T1_LF_DRA,86.69,-2.77,0.00
15,ABRASIVE-LT.T1_LF_DRA,104.57,-3.56,0.00
16,ABRASIVE-LT.T1_LF_DRA,130.69,-4.31,0.00
17,ABRASIVE-LT.T1_LF_DRA,152.12,-3.50,0.00
18,ABRASIVE-LT.T1_LF_DRA,192.04,-4.61,0.00
19,ABRASIVE-LT.T1_LF_DRA,232.52,-6.28,0.00
20,ABRASIVE-LT.T1_LF_DRA,233.43,-5.37,0.00
21,ABRASIVE-LT.T1_LF_DRA,147.16,-3.09,0.00
22,ABRASIVE-LT.T1_LF_DRA,131.12,-3.80,0.00
23,ABRASIVE-LT.T1_LF_DRA,58.23,-1.11,0.00
24,ABRASIVE-LT.T1_LF_DRA,58.16,-1.45,0.00
1,ADAMSBLVD-LT.L1_LF,44.82,-0.18,0.00
2,ADAMSBLVD-LT.L1_LF,37.45,0.00,0.00
3,ADAMSBLVD-LT.L1_LF,37.59,0.11,0.00
4,ADAMSBLVD-LT.L1_LF,37.72,0.15,0.00
5,ADAMSBLVD-LT.L1_LF,42.30,0.08,0.00
6,ADAMSBLVD-LT.L1_LF,39.77,0.28,0.00
7,ADAMSBLVD-LT.L1_LF,52.49,-0.10,0.00
8,ADAMSBLVD-LT.L1_LF,56.30,-0.28,0.00
9,ADAMSBLVD-LT.L1_LF,55.73,-0.50,0.00
10,ADAMSBLVD-LT.L1_LF,64.66,-0.71,0.00
11,ADAMSBLVD-LT.L1_LF,68.25,-0.75,0.00
12,ADAMSBLVD-LT.L1_LF,77.95,-1.01,0.00
13,ADAMSBLVD-LT.L1_LF,86.29,-0.86,0.00
14,ADAMSBLVD-LT.L1_LF,88.57,-0.89,0.00
15,ADAMSBLVD-LT.L1_LF,106.95,-1.18,0.00
16,ADAMSBLVD-LT.L1_LF,133.80,-1.20,0.00
17,ADAMSBLVD-LT.L1_LF,154.69,-0.93,0.00
18,ADAMSBLVD-LT.L1_LF,195.47,-1.17,0.00
19,ADAMSBLVD-LT.L1_LF,237.61,-1.19,0.00
20,ADAMSBLVD-LT.L1_LF,238.32,-0.48,0.00
21,ADAMSBLVD-LT.L1_LF,149.35,-0.90,0.00
22,ADAMSBLVD-LT.L1_LF,134.25,-0.67,0.00
23,ADAMSBLVD-LT.L1_LF,58.98,-0.35,0.00
24,ADAMSBLVD-LT.L1_LF,59.38,-0.24,0.00
1,ADELAIDE-LT.AG_T1,43.44,-1.56,0.00
2,ADELAIDE-LT.AG_T1,36.32,-1.13,0.00
3,ADELAIDE-LT.AG_T1,36.42,-1.06,0.00
4,ADELAIDE-LT.AG_T1,36.58,-0.99,0.00
5,ADELAIDE-LT.AG_T1,41.10,-1.11,0.00
6,ADELAIDE-LT.AG_T1,38.64,-0.85,0.00
7,ADELAIDE-LT.AG_T1,50.92,-1.68,0.00
8,ADELAIDE-LT.AG_T1,54.46,-2.12,0.00
9,ADELAIDE-LT.AG_T1,53.86,-2.37,0.00
10,ADELAIDE-LT.AG_T1,62.50,-2.88,0.00
11,ADELAIDE-LT.AG_T1,65.90,-3.10,0.00
12,ADELAIDE-LT.AG_T1,75.42,-3.54,0.00
13,ADELAIDE-LT.AG_T1,83.48,-3.67,0.00
14,ADELAIDE-LT.AG_T1,85.69,-3.77,0.00
15,ADELAIDE-LT.AG_T1,103.37,-4.76,0.00
16,ADELAIDE-LT.AG_T1,129.56,-5.44,0.00
17,ADELAIDE-LT.AG_T1,149.49,-6.13,0.00
18,ADELAIDE-LT.AG_T1,189.27,-7.38,0.00
19,ADELAIDE-LT.AG_T1,230.28,-8.52,0.00
20,ADELAIDE-LT.AG_T1,231.17,-7.63,0.00
21,ADELAIDE-LT.AG_T1,144.75,-5.50,0.00
22,ADELAIDE-LT.AG_T1,130.24,-4.69,0.00
23,ADELAIDE-LT.AG_T1,57.10,-2.23,0.00
24,ADELAIDE-LT.AG_T1,57.71,-1.90,0.00
1,AGIMAKDS-LT.TT_LF,40.91,-4.09,0.00
2,AGIMAKDS-LT.TT_LF,34.14,-3.31,0.00
3,AGIMAKDS-LT.TT_LF,33.49,-3.99,0.00
4,AGIMAKDS-LT.TT_LF,33.66,-3.91,0.00
5,AGIMAKDS-LT.TT_LF,37.69,-4.52,0.00
6,AGIMAKDS-LT.TT_LF,11.99,-4.67,-22.84
7,AGIMAKDS-LT.TT_LF,39.63,-7.37,-5.60
8,AGIMAKDS-LT.TT_LF,35.64,-8.55,-12.39
9,AGIMAKDS-LT.TT_LF,37.89,-9.02,-9.33
10,AGIMAKDS-LT.TT_LF,15.67,-10.25,-39.45
11,AGIMAKDS-LT.TT_LF,44.02,-12.12,-12.86
12,AGIMAKDS-LT.TT_LF,38.15,-13.54,-27.28
13,AGIMAKDS-LT.TT_LF,35.67,-14.40,-37.07
14,AGIMAKDS-LT.TT_LF,42.67,-15.10,-31.69
15,AGIMAKDS-LT.TT_LF,21.32,-17.87,-68.94
16,AGIMAKDS-LT.TT_LF,26.23,-21.27,-87.51
17,AGIMAKDS-LT.TT_LF,26.19,-24.85,-104.58
18,AGIMAKDS-LT.TT_LF,37.92,-30.70,-128.03
19,AGIMAKDS-LT.TT_LF,46.14,-40.46,-152.19
20,AGIMAKDS-LT.TT_LF,40.69,-38.63,-159.47
21,AGIMAKDS-LT.TT_LF,86.64,-25.15,-38.46
22,AGIMAKDS-LT.TT_LF,86.72,-23.69,-24.51
23,AGIMAKDS-LT.TT_LF,50.24,-9.09,0.00
24,AGIMAKDS-LT.TT_LF,52.76,-6.86,0.00
1,AGINCOURT-LT.LFBY,44.91,-0.09,0.00
2,AGINCOURT-LT.LFBY,37.34,-0.11,0.00
3,AGINCOURT-LT.LFBY,37.37,-0.11,0.00
4,AGINCOURT-LT.LFBY,37.46,-0.11,0.00
5,AGINCOURT-LT.LFBY,42.09,-0.13,0.00
6,AGINCOURT-LT.LFBY,39.34,-0.16,0.00
7,AGINCOURT-LT.LFBY,52.44,-0.16,0.00
8,AGINCOURT-LT.LFBY,56.42,-0.17,0.00
9,AGINCOURT-LT.LFBY,56.07,-0.17,0.00
10,AGINCOURT-LT.LFBY,65.18,-0.20,0.00
11,AGINCOURT-LT.LFBY,68.79,-0.21,0.00
12,AGINCOURT-LT.LFBY,78.73,-0.24,0.00
13,AGINCOURT-LT.LFBY,86.89,-0.26,0.00
14,AGINCOURT-LT.LFBY,89.19,-0.27,0.00
15,AGINCOURT-LT.LFBY,107.70,-0.43,0.00
16,AGINCOURT-LT.LFBY,134.46,-0.54,0.00
17,AGINCOURT-LT.LFBY,154.84,-0.77,0.00
18,AGINCOURT-LT.LFBY,195.86,-0.78,0.00
19,AGINCOURT-LT.LFBY,237.85,-0.95,0.00
20,AGINCOURT-LT.LFBY,237.61,-1.19,0.00
21,AGINCOURT-LT.LFBY,149.50,-0.75,0.00
22,AGINCOURT-LT.LFBY,134.25,-0.67,0.00
23,AGINCOURT-LT.LFBY,59.10,-0.24,0.00
24,AGINCOURT-LT.LFBY,59.32,-0.30,0.00
1,AGUASABON-LT.AG12,7.49,-6.41,-31.10
2,AGUASABON-LT.AG12,7.04,-5.25,-25.16
3,AGUASABON-LT.AG12,31.03,-6.45,0.00
4,AGUASABON-LT.AG12,31.23,-6.34,0.00
5,AGUASABON-LT.AG12,35.15,-7.06,0.00
6,AGUASABON-LT.AG12,9.01,-7.64,-22.84
7,AGUASABON-LT.AG12,36.48,-10.52,-5.60
8,AGUASABON-LT.AG12,31.40,-12.79,-12.39
9,AGUASABON-LT.AG12,33.90,-13.01,-9.33
10,AGUASABON-LT.AG12,10.49,-15.43,-39.45
11,AGUASABON-LT.AG12,38.70,-17.43,-12.86
12,AGUASABON-LT.AG12,32.18,-19.50,-27.28
13,AGUASABON-LT.AG12,28.50,-21.57,-37.07
14,AGUASABON-LT.AG12,34.82,-22.95,-31.69
15,AGUASABON-LT.AG12,11.52,-27.68,-68.94
16,AGUASABON-LT.AG12,13.02,-34.48,-87.51
17,AGUASABON-LT.AG12,12.25,-38.79,-104.58
18,AGUASABON-LT.AG12,16.99,-51.63,-128.03
19,AGUASABON-LT.AG12,25.22,-61.39,-152.19
20,AGUASABON-LT.AG12,18.74,-60.59,-159.47
21,AGUASABON-LT.AG12,74.34,-37.45,-38.46
22,AGUASABON-LT.AG12,77.17,-33.25,-24.51
23,AGUASABON-LT.AG12,47.54,-11.79,0.00
24,AGUASABON-LT.AG12,49.51,-10.10,0.00
1,ALANBRG28KV-LT_H1,44.12,-0.88,0.00
2,ALANBRG28KV-LT_H1,37.30,-0.15,0.00
3,ALANBRG28KV-LT_H1,37.48,0.00,0.00
4,ALANBRG28KV-LT_H1,37.34,-0.22,0.00
5,ALANBRG28KV-LT_H1,41.84,-0.38,0.00
6,ALANBRG28KV-LT_H1,39.34,-0.16,0.00
7,ALANBRG28KV-LT_H1,51.77,-0.83,0.00
8,ALANBRG28KV-LT_H1,55.37,-1.22,0.00
9,ALANBRG28KV-LT_H1,54.65,-1.58,0.00
10,ALANBRG28KV-LT_H1,63.16,-2.21,0.00
11,ALANBRG28KV-LT_H1,66.54,-2.46,0.00
12,ALANBRG28KV-LT_H1,75.49,-3.47,0.00
13,ALANBRG28KV-LT_H1,83.48,-3.67,0.00
14,ALANBRG28KV-LT_H1,85.69,-3.77,0.00
15,ALANBRG28KV-LT_H1,103.37,-4.76,0.00
16,ALANBRG28KV-LT_H1,129.19,-5.81,0.00
17,ALANBRG28KV-LT_H1,150.36,-5.26,0.00
18,ALANBRG28KV-LT_H1,189.63,-7.02,0.00
19,ALANBRG28KV-LT_H1,229.39,-9.41,0.00
20,ALANBRG28KV-LT_H1,230.28,-8.52,0.00
21,ALANBRG28KV-LT_H1,145.17,-5.08,0.00
22,ALANBRG28KV-LT_H1,129.49,-5.44,0.00
23,ALANBRG28KV-LT_H1,57.72,-1.62,0.00
24,ALANBRG28KV-LT_H1,57.66,-1.96,0.00
1,ALBION-LT.LFBJQY,47.17,2.17,0.00
2,ALBION-LT.LFBJQY,39.26,1.81,0.00
3,ALBION-LT.LFBJQY,39.24,1.77,0.00
4,ALBION-LT.LFBJQY,39.30,1.73,0.00
5,ALBION-LT.LFBJQY,44.16,1.94,0.00
6,ALBION-LT.LFBJQY,41.10,1.60,0.00
7,ALBION-LT.LFBJQY,55.14,2.54,0.00
8,ALBION-LT.LFBJQY,59.25,2.67,0.00
9,ALBION-LT.LFBJQY,58.64,2.40,0.00
10,ALBION-LT.LFBJQY,67.89,2.51,0.00
11,ALBION-LT.LFBJQY,71.95,2.95,0.00
12,ALBION-LT.LFBJQY,82.26,3.29,0.00
13,ALBION-LT.LFBJQY,88.93,1.78,0.00
14,ALBION-LT.LFBJQY,90.64,1.18,0.00
15,ALBION-LT.LFBJQY,109.44,1.31,0.00
16,ALBION-LT.LFBJQY,136.23,1.23,0.00
17,ALBION-LT.LFBJQY,156.09,0.47,0.00
18,ALBION-LT.LFBJQY,197.04,0.39,0.00
19,ALBION-LT.LFBJQY,238.80,0.00,0.00
20,ALBION-LT.LFBJQY,238.56,-0.24,0.00
21,ALBION-LT.LFBJQY,150.85,0.60,0.00
22,ALBION-LT.LFBJQY,135.60,0.68,0.00
23,ALBION-LT.LFBJQY,60.79,1.46,0.00
24,ALBION-LT.LFBJQY,61.71,2.10,0.00
1,ALCOCAN-LT.TT1_LF,46.25,1.25,0.00
2,ALCOCAN-LT.TT1_LF,38.45,1.00,0.00
3,ALCOCAN-LT.TT1_LF,38.40,0.92,0.00
4,ALCOCAN-LT.TT1_LF,38.49,0.92,0.00
5,ALCOCAN-LT.TT1_LF,43.21,0.99,0.00
6,ALCOCAN-LT.TT1_LF,40.18,0.68,0.00
7,ALCOCAN-LT.TT1_LF,53.67,1.07,0.00
8,ALCOCAN-LT.TT1_LF,57.80,1.21,0.00
9,ALCOCAN-LT.TT1_LF,57.32,1.09,0.00
10,ALCOCAN-LT.TT1_LF,66.51,1.13,0.00
11,ALCOCAN-LT.TT1_LF,70.19,1.19,0.00
12,ALCOCAN-LT.TT1_LF,80.33,1.37,0.00
13,ALCOCAN-LT.TT1_LF,87.94,0.79,0.00
14,ALCOCAN-LT.TT1_LF,89.91,0.45,0.00
15,ALCOCAN-LT.TT1_LF,108.67,0.54,0.00
16,ALCOCAN-LT.TT1_LF,135.27,0.27,0.00
17,ALCOCAN-LT.TT1_LF,155.15,-0.47,0.00
18,ALCOCAN-LT.TT1_LF,196.65,0.00,0.00
19,ALCOCAN-LT.TT1_LF,239.28,0.48,0.00
20,ALCOCAN-LT.TT1_LF,238.80,0.00,0.00
21,ALCOCAN-LT.TT1_LF,150.40,0.15,0.00
22,ALCOCAN-LT.TT1_LF,135.74,0.81,0.00
23,ALCOCAN-LT.TT1_LF,60.24,0.90,0.00
24,ALCOCAN-LT.TT1_LF,60.46,0.85,0.00
1,ALEXANDER-LT.AG_T1,6.50,-7.41,-31.10
2,ALEXANDER-LT.AG_T1,6.36,-5.93,-25.16
3,ALEXANDER-LT.AG_T1,29.37,-8.11,0.00
4,ALEXANDER-LT.AG_T1,29.58,-7.99,0.00
5,ALEXANDER-LT.AG_T1,33.24,-8.97,0.00
6,ALEXANDER-LT.AG_T1,7.26,-9.39,-22.84
7,ALEXANDER-LT.AG_T1,34.19,-12.81,-5.60
8,ALEXANDER-LT.AG_T1,29.09,-15.10,-12.39
9,ALEXANDER-LT.AG_T1,31.60,-15.31,-9.33
10,ALEXANDER-LT.AG_T1,7.65,-18.27,-39.45
11,ALEXANDER-LT.AG_T1,35.97,-20.17,-12.86
12,ALEXANDER-LT.AG_T1,29.05,-22.64,-27.28
13,ALEXANDER-LT.AG_T1,25.04,-25.03,-37.07
14,ALEXANDER-LT.AG_T1,31.31,-26.46,-31.69
15,ALEXANDER-LT.AG_T1,7.75,-31.44,-68.94
16,ALEXANDER-LT.AG_T1,8.38,-39.12,-87.51
17,ALEXANDER-LT.AG_T1,7.86,-43.18,-104.58
18,ALEXANDER-LT.AG_T1,9.78,-58.84,-128.03
19,ALEXANDER-LT.AG_T1,16.09,-70.51,-152.19
20,ALEXANDER-LT.AG_T1,9.89,-69.44,-159.47
21,ALEXANDER-LT.AG_T1,68.71,-43.08,-38.46
22,ALEXANDER-LT.AG_T1,71.86,-38.55,-24.51
23,ALEXANDER-LT.AG_T1,44.81,-14.52,0.00
24,ALEXANDER-LT.AG_T1,46.76,-12.86,0.00
1,ALEXANDER-LT.AG_T2,6.50,-7.41,-31.10
2,ALEXANDER-LT.AG_T2,6.36,-5.93,-25.16
3,ALEXANDER-LT.AG_T2,29.37,-8.11,0.00
4,ALEXANDER-LT.AG_T2,29.58,-7.99,0.00
5,ALEXANDER-LT.AG_T2,33.24,-8.97,0.00
6,ALEXANDER-LT.AG_T2,7.26,-9.39,-22.84
7,ALEXANDER-LT.AG_T2,34.19,-12.81,-5.60
8,ALEXANDER-LT.AG_T2,29.09,-15.10,-12.39
9,ALEXANDER-LT.AG_T2,31.60,-15.31,-9.33
10,ALEXANDER-LT.AG_T2,7.65,-18.27,-39.45
11,ALEXANDER-LT.AG_T2,35.97,-20.17,-12.86
12,ALEXANDER-LT.AG_T2,29.05,-22.64,-27.28
13,ALEXANDER-LT.AG_T2,25.04,-25.03,-37.07
14,ALEXANDER-LT.AG_T2,31.31,-26.46,-31.69
15,ALEXANDER-LT.AG_T2,7.75,-31.44,-68.94
16,ALEXANDER-LT.AG_T2,8.38,-39.12,-87.51
17,ALEXANDER-LT.AG_T2,7.86,-43.18,-104.58
18,ALEXANDER-LT.AG_T2,9.78,-58.84,-128.03
19,ALEXANDER-LT.AG_T2,16.09,-70.51,-152.19
20,ALEXANDER-LT.AG_T2,9.89,-69.44,-159.47
21,ALEXANDER-LT.AG_T2,68.71,-43.08,-38.46
22,ALEXANDER-LT.AG_T2,71.86,-38.55,-24.51
23,ALEXANDER-LT.AG_T2,44.81,-14.52,0.00
24,ALEXANDER-LT.AG_T2,46.76,-12.86,0.00
1,ALEXANDER-LT.AG_T3,6.50,-7.41,-31.10
2,ALEXANDER-LT.AG_T3,6.36,-5.93,-25.16
3,ALEXANDER-LT.AG_T3,29.37,-8.11,0.00
4,ALEXANDER-LT.AG_T3,29.58,-7.99,0.00
5,ALEXANDER-LT.AG_T3,33.24,-8.97,0.00
6,ALEXANDER-LT.AG_T3,7.26,-9.39,-22.84
7,ALEXANDER-LT.AG_T3,34.19,-12.81,-5.60
8,ALEXANDER-LT.AG_T3,29.09,-15.10,-12.39
9,ALEXANDER-LT.AG_T3,31.60,-15.31,-9.33
10,ALEXANDER-LT.AG_T3,7.65,-18.27,-39.45
11,ALEXANDER-LT.AG_T3,35.97,-20.17,-12.86
12,ALEXANDER-LT.AG_T3,29.05,-22.64,-27.28
13,ALEXANDER-LT.AG_T3,25.04,-25.03,-37.07
14,ALEXANDER-LT.AG_T3,31.31,-26.46,-31.69
15,ALEXANDER-LT.AG_T3,7.75,-31.44,-68.94
16,ALEXANDER-LT.AG_T3,8.38,-39.12,-87.51
17,ALEXANDER-LT.AG_T3,7.86,-43.18,-104.58
18,ALEXANDER-LT.AG_T3,9.78,-58.84,-128.03
19,ALEXANDER-LT.AG_T3,16.09,-70.51,-152.19
20,ALEXANDER-LT.AG_T3,9.89,-69.44,-159.47
21,ALEXANDER-LT.AG_T3,68.71,-43.08,-38.46
22,ALEXANDER-LT.AG_T3,71.86,-38.55,-24.51
23,ALEXANDER-LT.AG_T3,44.81,-14.52,0.00
24,ALEXANDER-LT.AG_T3,46.76,-12.86,0.00
1,ALEXANDER-LT.AG_T4,6.50,-7.41,-31.10
2,ALEXANDER-LT.AG_T4,6.36,-5.93,-25.16
3,ALEXANDER-LT.AG_T4,29.37,-8.11,0.00
4,ALEXANDER-LT.AG_T4,29.58,-7.99,0.00
5,ALEXANDER-LT.AG_T4,33.24,-8.97,0.00
6,ALEXANDER-LT.AG_T4,7.26,-9.39,-22.84
7,ALEXANDER-LT.AG_T4,34.19,-12.81,-5.60
8,ALEXANDER-LT.AG_T4,29.09,-15.10,-12.39
9,ALEXANDER-LT.AG_T4,31.60,-15.31,-9.33
10,ALEXANDER-LT.AG_T4,7.65,-18.27,-39.45
11,ALEXANDER-LT.AG_T4,35.97,-20.17,-12.86
12,ALEXANDER-LT.AG_T4,29.05,-22.64,-27.28
13,ALEXANDER-LT.AG_T4,25.04,-25.03,-37.07
14,ALEXANDER-LT.AG_T4,31.31,-26.46,-31.69
15,ALEXANDER-LT.AG_T4,7.75,-31.44,-68.94
16,ALEXANDER-LT.AG_T4,8.38,-39.12,-87.51
17,ALEXANDER-LT.AG_T4,7.86,-43.18,-104.58
18,ALEXANDER-LT.AG_T4,9.78,-58.84,-128.03
19,ALEXANDER-LT.AG_T4,16.09,-70.51,-152.19
20,ALEXANDER-LT.AG_T4,9.89,-69.44,-159.47
21,ALEXANDER-LT.AG_T4,68.71,-43.08,-38.46
22,ALEXANDER-LT.AG_T4,71.86,-38.55,-24.51
23,ALEXANDER-LT.AG_T4,44.81,-14.52,0.00
24,ALEXANDER-LT.AG_T4,46.76,-12.86,0.00
1,ALGOMAEAF-LT.EAF1,42.25,-2.75,0.00
2,ALGOMAEAF-LT.EAF1,35.10,-2.35,0.00
3,ALGOMAEAF-LT.EAF1,35.66,-1.82,0.00
4,ALGOMAEAF-LT.EAF1,35.75,-1.82,0.00
5,ALGOMAEAF-LT.EAF1,40.24,-1.97,0.00
6,ALGOMAEAF-LT.EAF1,36.60,-2.89,0.00
7,ALGOMAEAF-LT.EAF1,48.30,-4.30,0.00
8,ALGOMAEAF-LT.EAF1,49.77,-6.82,0.00
9,ALGOMAEAF-LT.EAF1,49.20,-7.04,0.00
10,ALGOMAEAF-LT.EAF1,58.21,-7.16,0.00
11,ALGOMAEAF-LT.EAF1,59.69,-9.31,0.00
12,ALGOMAEAF-LT.EAF1,60.56,-18.41,0.00
13,ALGOMAEAF-LT.EAF1,64.27,-22.88,0.00
14,ALGOMAEAF-LT.EAF1,64.55,-24.91,0.00
15,ALGOMAEAF-LT.EAF1,102.72,-4.06,-1.35
16,ALGOMAEAF-LT.EAF1,124.88,-3.04,-7.08
17,ALGOMAEAF-LT.EAF1,2.07,-48.22,-105.33
18,ALGOMAEAF-LT.EAF1,21.09,-57.67,-117.88
19,ALGOMAEAF-LT.EAF1,43.39,-68.47,-126.94
20,ALGOMAEAF-LT.EAF1,173.67,-65.13,0.00
21,ALGOMAEAF-LT.EAF1,148.03,-2.22,0.00
22,ALGOMAEAF-LT.EAF1,94.26,-16.15,-24.51
23,ALGOMAEAF-LT.EAF1,55.50,-3.83,0.00
24,ALGOMAEAF-LT.EAF1,56.14,-3.48,0.00
1,ALLANBURG-LT.DRCTENGY_DRA,44.12,-0.88,0.00
2,ALLANBURG-LT.DRCTENGY_DRA,37.26,-0.19,0.00
3,ALLANBURG-LT.DRCTENGY_DRA,37.48,0.00,0.00
4,ALLANBURG-LT.DRCTENGY_DRA,37.34,-0.22,0.00
5,ALLANBURG-LT.DRCTENGY_DRA,41.84,-0.38,0.00
6,ALLANBURG-LT.DRCTENGY_DRA,39.34,-0.16,0.00
7,ALLANBURG-LT.DRCTENGY_DRA,51.77,-0.83,0.00
8,ALLANBURG-LT.DRCTENGY_DRA,55.37,-1.22,0.00
9,ALLANBURG-LT.DRCTENGY_DRA,54.65,-1.58,0.00
10,ALLANBURG-LT.DRCTENGY_DRA,63.16,-2.21,0.00
11,ALLANBURG-LT.DRCTENGY_DRA,66.54,-2.46,0.00
12,ALLANBURG-LT.DRCTENGY_DRA,75.49,-3.47,0.00
13,ALLANBURG-LT.DRCTENGY_DRA,83.48,-3.67,0.00
14,ALLANBURG-LT.DRCTENGY_DRA,85.61,-3.85,0.00
15,ALLANBURG-LT.DRCTENGY_DRA,103.37,-4.76,0.00
16,ALLANBURG-LT.DRCTENGY_DRA,129.19,-5.81,0.00
17,ALLANBURG-LT.DRCTENGY_DRA,150.36,-5.26,0.00
18,ALLANBURG-LT.DRCTENGY_DRA,189.63,-7.02,0.00
19,ALLANBURG-LT.DRCTENGY_DRA,229.39,-9.41,0.00
20,ALLANBURG-LT.DRCTENGY_DRA,230.28,-8.52,0.00
21,ALLANBURG-LT.DRCTENGY_DRA,145.17,-5.08,0.00
22,ALLANBURG-LT.DRCTENGY_DRA,129.49,-5.44,0.00
23,ALLANBURG-LT.DRCTENGY_DRA,57.66,-1.67,0.00
24,ALLANBURG-LT.DRCTENGY_DRA,57.66,-1.96,0.00
1,ALLANBURG-LT.ENERCORP_DRA,44.12,-0.88,0.00
2,ALLANBURG-LT.ENERCORP_DRA,37.26,-0.19,0.00
3,ALLANBURG-LT.ENERCORP_DRA,37.48,0.00,0.00
4,ALLANBURG-LT.ENERCORP_DRA,37.34,-0.22,0.00
5,ALLANBURG-LT.ENERCORP_DRA,41.84,-0.38,0.00
6,ALLANBURG-LT.ENERCORP_DRA,39.34,-0.16,0.00
7,ALLANBURG-LT.ENERCORP_DRA,51.77,-0.83,0.00
8,ALLANBURG-LT.ENERCORP_DRA,55.37,-1.22,0.00
9,ALLANBURG-LT.ENERCORP_DRA,54.65,-1.58,0.00
10,ALLANBURG-LT.ENERCORP_DRA,63.16,-2.21,0.00
11,ALLANBURG-LT.ENERCORP_DRA,66.54,-2.46,0.00
12,ALLANBURG-LT.ENERCORP_DRA,75.49,-3.47,0.00
13,ALLANBURG-LT.ENERCORP_DRA,83.48,-3.67,0.00
14,ALLANBURG-LT.ENERCORP_DRA,85.61,-3.85,0.00
15,ALLANBURG-LT.ENERCORP_DRA,103.37,-4.76,0.00
16,ALLANBURG-LT.ENERCORP_DRA,129.19,-5.81,0.00
17,ALLANBURG-LT.ENERCORP_DRA,150.36,-5.26,0.00
18,ALLANBURG-LT.ENERCORP_DRA,189.63,-7.02,0.00
